Measurement_Timing,Treatment,Replicate,Peroxidase,Catalase,MDA
BT,FC SC,R1,0.246340725,1.260023725,67.61188931
BT,FC SH,R1,-0.047479375,1.217319098,59.07072087
BT,FH SC,R1,1.059059141,1.161565836,84.5234028
BT,FH SH,R1,0.065708246,1.158007117,108.4386744
BT,FC SC,R2,0.038377227,1.405931198,66.41612573
BT,FC SH,R2,0.364864767,1.237485172,59.58319098
BT,FH SC,R2,0.469052766,1.231553974,77.86129142
BT,FH SH,R2,0.177902513,1.30510083,107.5845576
BT,FC SC,R3,0.124903325,1.18054567,61.97471814
BT,FC SH,R3,1.218814286,1.320521945,58.91697984
BT,FH SC,R3,0.247509052,1.232740214,77.00717458
BT,FH SH,R3,0.109939994,1.226809015,100.9224462
BT,FC SC,R4,0.157210046,1.263582444,59.75401435
BT,FC SH,R4,0.469501171,1.263582444,62.31636488
BT,FH SC,R4,0.02682026,1.21376038,80.76528869
BT,FH SH,R4,1.047229061,1.223250297,95.11445166
BT,FC SC,R5,0.267184229,1.516251483,69.66176973
BT,FC SH,R5,0.6270107,1.485409253,59.41236761
BT,FH SC,R5,-0.010835809,1.146144721,88.79398702
BT,FH SH,R5,0.364232053,1.106998814,104.6805603
AT,FC SC,R1,0.229885057,5.128215302,98.51383669
AT,FC SH,R1,0.940229885,5.213215,116.7919
AT,FH SC,R1,0.296551724,5.152215,87.75196
AT,FH SH,R1,0.177011494,6.244615,112.0089
AT,FC SC,R2,0.16091954,5.069215302,97.65971985
AT,FC SH,R2,0.862068966,5.132215,109.9248
AT,FH SC,R2,1.772413793,5.850215,114.2296
AT,FH SH,R2,1.094252874,6.068215,111.6502
AT,FC SC,R3,0.193103448,5.153215302,91.25384
AT,FC SH,R3,0.137931034,5.112215,112.6922
AT,FH SC,R3,0.082758621,5.178215,104.4927
AT,FH SH,R3,1.245977011,6.105215,136.6074
AT,FC SC,R4,0.177011494,5.123215302,
AT,FC SH,R4,0.871264368,5.149215,109.7882
AT,FH SC,R4,0.505747126,5.077215,86.04373
AT,FH SH,R4,,5.202215,
AT,FC SC,R5,-0.055172414,5.075215302,
AT,FC SH,R5,,5.086215,110.9839
AT,FH SC,R5,1.710344828,5.087215,
AT,FH SH,R5,,5.204215,